measure,all_years,2011-03-31,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
n,1104226,812055,872541,896120,908676,921434,925901,884824
n_dead,197638 (17.9),NA,36055 (4.1),41784 (4.7),39370 (4.3),42413 (4.6),38016 (4.1),NA
n_pis,1028368 (93.1),723726 (89.1),773342 (88.6),790979 (88.3),802995 (88.4),814494 (88.4),819419 (88.5),NA
n_scs,223251 (20.2),87490 (10.8),91361 (10.5),100121 (11.2),98742 (10.9),126610 (13.7),127036 (13.7),NA
n_usc,772103 (69.9),NA,260225 (29.8),273285 (30.5),271141 (29.8),290275 (31.5),286299 (30.9),281270 (31.8)
n_adm,504539 (45.7),NA,133841 (15.3),142368 (15.9),141935 (15.6),148326 (16.1),146684 (15.8),145454 (16.4)
n_ed,610790 (55.3),NA,173463 (19.9),182262 (20.3),184302 (20.3),191152 (20.7),186743 (20.2),183659 (20.8)
n_male,497661 (45.1),353067 (43.5),383096 (43.9),396213 (44.2),404596 (44.5),412383 (44.8),416539 (45),397389 (44.9)
n_female,606565 (54.9),458988 (56.5),489445 (56.1),499907 (55.8),504080 (55.5),509051 (55.2),509362 (55),487435 (55.1)
n_6575,663287 (60.1),371948 (45.8),434508 (49.8),485028 (54.1),529169 (58.2),570276 (61.9),607957 (65.7),593012 (67)
n_7685,319699 (29),319057 (39.3),317980 (36.4),303080 (33.8),285823 (31.5),269119 (29.2),250117 (27),234124 (26.5)
n_86plus,121240 (11),121050 (14.9),120053 (13.8),108012 (12.1),93684 (10.3),82039 (8.9),67827 (7.3),57688 (6.5)
